"","OR","2.5 %","97.5 %","p-value"
"hv104female",0.64,0.62,0.66,0
"age_cat40-59",2.27,2.18,2.34,0
"age_cat60+",2.92,2.77,3.03,0
"marital_statusMarried",0.69,0.66,0.73,0
"marital_statusUnmarried",0.49,0.46,0.52,0
"bmi_category1",0.7,0.66,0.73,0
"bmi_category3",2.25,2.18,2.32,0
"edu_catNo education",1.14,1.09,1.19,0
"edu_catSecondary or Higher",0.94,0.91,0.98,0.001
"wealth_catPoor",1.13,1.08,1.17,0
"wealth_catRich",1.11,1.06,1.14,0
"hv025rural",0.87,0.84,0.89,0
"shecoreghill",1.02,0.96,1.08,0.528
"shecoregterai",0.99,0.93,1.06,0.871
